"Key","English Value","Chinese Value"
"auth.login.button","Sign In","登入"
"auth.login.forgot_password","Forgot your password?","忘記密碼？"
"auth.login.placeholder_password","Enter your password","輸入您的密碼"
"auth.login.placeholder_username","Enter your username","輸入您的用戶名"
"auth.login.remember_me","Remember me","記住我"
"auth.login.title","Login","登入"
"auth.logout.button","Logout","登出"
"auth.logout.confirmation","Are you sure you want to log out?","您確定要登出嗎？"
"auth.signup.button","Create Account","創建帳戶"
"auth.signup.terms_agreement","I agree to the terms and conditions","我同意條款和條件"
"auth.signup.title","Sign Up","註冊"
"common.cancel","Cancel","取消"
"common.close","Close","關閉"
"common.confirm","Confirm","確認"
"common.save","Save","儲存"
"dashboard.no_data","No data available","無可用數據"
"dashboard.recent_activity","Recent Activity","最近活動"
"dashboard.welcome_message","Welcome back, {{name}}!","歡迎回來，{{name}}！"
"errors.form.invalid_email","Invalid email address","無效的電子郵件地址"
"errors.form.password_too_short","Password must be at least {{min}} characters long","密碼必須至少 {{min}} 個字符長"
"errors.form.required","This field is required","此字段為必填項"
"errors.network","Network error, please try again later","網絡錯誤，請稍後再試"
"errors.server","Server error, please contact support","伺服器錯誤，請聯繫客服"
"navigation.dashboard","Dashboard","儀表板"
"navigation.home","Home","首頁"
"navigation.profile","Profile","個人資料"
"navigation.settings","Settings","設置"
"settings.language.chinese","Chinese","中文"
"settings.language.english","English","英文"
"settings.language.french","French","法文"
"settings.language.japanese","Japanese","日文"
"settings.language.label","Language","語言"
"settings.theme.dark","Dark Mode","深色模式"
"settings.theme.label","Theme","主題"
"settings.theme.light","Light Mode","淺色模式"
"settings.title","Settings","設置"
